LOCATION,ADDRESS,BIKE_PARKING,PLACEMENT,RACKS,SPACES,1_STATUS,2_STATUS_HIGH_LEVEL,3_STATUS_DETAIL,4_STATUS_DESCRIPTION,5_ACTING_AGENT,6_ACTION,INSTALLED_BY,YR_INSTALLED,COORDINATES
The Dubliner,328 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,SUPPLY MEETS DEMAND,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.737803, -122.469714)"
Thriveability Yoga Studio,300 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.738032, -122.469444)"
Norman's Liquor and Grocery,733 RANDOLPH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.714080, -122.469394)"
Tanning Salon,2377 OCEAN AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.729744, -122.469356)"
Walter Adams Framing,243 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.738325, -122.468177)"
Cortez Cleaners,520 RANDOLPH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.714517, -122.467506)"
West Portal Cleaning Center,161 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.739009, -122.467365)"
Face to Face,157 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.739009, -122.467365)"
Chase Bank,98 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.740068, -122.467059)"
Radio Shack ,123 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.739334, -122.466980)"
GG's Flower Shop,111 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.739334, -122.466980)"
Bookshop West Portal ,80 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.740149, -122.466963)"
Market & Rye,68 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.740248, -122.466846)"
?,62 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.740248, -122.466846)"
Grateful Head ,103 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.739447, -122.466836)"
Bursa,60 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED ,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.740363, -122.466748)"
Daily Health Food & Deli,1235 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.765269, -122.466727)"
Jenny's Burgers,1233 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.765269, -122.466727)"
Gordo Taqueria,1239 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.765201, -122.466722)"
Marnee Thai,1243 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.765132, -122.466717)"
Transcendental Meditation,1245 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.765064, -122.466712)"
Vacation Rental Apartments by Golden Gate Park,1257 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.764858, -122.466698)"
San Francisco Honda Ninth Avenue Service Center,1259 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.764755, -122.466691)"
Kate McIntyre State Farm,1215 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.765653, -122.466601)"
Park Gyros,1201 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.765653, -122.466601)"
Pierre's Auto Body ,1349 09TH AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.763127, -122.466577)"
Pilgrim Community Church,400 RANDOLPH ST,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.714524, -122.466563)"
West Portal Daily,36 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.740545, -122.466552)"
Papenhausen Hardware,32 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SURVEY SCHEDULED,N/A,SFMTA,3. FIELD_SURVEY,N/A,n/a,"(37.740598, -122.466497)"
Fresca,24 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.74067820, -122.46641550)"
West Portal Family Dentistry,26 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA CONTACTED,N/A,BUSINESS,2. RESPOND_TO_SFMTA,N/A,n/a,"(37.740678, -122.466416)"
Mozarella Di Bufala Pizza,69 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.73996228, -122.46636617)"
West Portal Shoe Service,79 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.73976604, -122.46630857)"
Goodwill Boutique,61 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.74001551, -122.46623082)"
Supercuts,59 WEST PORTAL AVE,RACK,SIDEWALK,0,0,IN_PROGRESS,UNDER_REVIEW,SFMTA_POLICY,REQUEST FROM VISITOR,SFMTA,1. AGENT_TO_CONTACT,N/A,n/a,"(37.74001551, -122.46623082)"
